hidden_layer_sizes,learning_rate,dropout,epochs,batch_size,val_accuracy,val_f1,final_loss
"[32, 32]",0.001,0.3,8,512,0.6984792868379653,0.7514051015996541,0.5686511051175728
"[64, 64]",0.001,0.1,8,512,0.7013633980073414,0.7489530526779811,0.5407296229266951
"[64, 64]",0.0005,0.3,8,512,0.695070791819612,0.745123822046899,0.5655683564731804
"[64, 64]",0.0005,0.1,8,512,0.6955951756685894,0.7431984074319841,0.5551131532316184
"[32, 32]",0.001,0.1,8,512,0.6932354483481908,0.7422907488986784,0.5593523480599414
"[64, 64]",0.001,0.3,8,512,0.6948085998951232,0.739946380697051,0.5497506690527082
"[32, 32]",0.0005,0.1,8,512,0.6866806502359727,0.7398214674504681,0.5730794107086313
"[32, 32]",0.0005,0.3,8,512,0.6858940744625066,0.7395652173913043,0.5863477134676455
