epoch,loss,val_accuracy,val_f1
1,0.693382067382746,0.5744625065547981,0.727730246602919
2,0.6673552292234067,0.5867855270057682,0.7334235453315291
3,0.6332991764341145,0.665443104352386,0.7281636131231359
4,0.5996986291396503,0.6840587309910855,0.7359193513039667
5,0.5849575018527929,0.6879916098584163,0.7424242424242424
6,0.5758128704684278,0.6906135291033036,0.7377777777777778
7,0.5699546139161954,0.6945464079706345,0.7471239418276536
8,0.5686511051175728,0.6984792868379653,0.7514051015996541
9,0.5630700215076936,0.6966439433665443,0.7477654240244168
10,0.5582369922661573,0.6969061352910331,0.7431111111111111
11,0.5566026373690467,0.6974305191400105,0.7461504619445667
12,0.5525633210839814,0.6982170949134766,0.7464199162811191
13,0.5532480809467077,0.6976927110644993,0.7449679274496793
14,0.5497230245997802,0.7011012060828526,0.7517421602787456
15,0.5484488009116942,0.7024121657052963,0.7528848247332898
16,0.5463531413547549,0.7018877818563188,0.7521255722694572
17,0.5397449885596058,0.704509701101206,0.757686519028166
18,0.5415824169933792,0.7052962768746722,0.7600341588385995
19,0.5394060749316117,0.7039853172522287,0.7580887079494322
20,0.5380645753016028,0.7081803880440483,0.7571459742526729
